market_id,question,fraction,ground_truth_yes,entry_price,predicted_yes,pick_confidence,divergence,disposition,velocity,pairs,composite,signal,n_prices,n_trades,profit
1891029,Magic vs. Celtics,0.25,False,0.245,True,0.10199999999999998,0.406,0.192,0.688,0.542,0.3775,HOLD,26,500,-0.245
568630,Will Rory McIlroy win the 2026 Masters tournament?,0.25,True,0.095,True,0.5,1.0,0.375,0.688,0.25,0.47977499999999995,ENTER,185,500,0.905
1784029,Will FC Internazionale Milano win on 2026-04-12?,0.25,True,0.42,True,0.6365000000000001,1.0,1.0,0.688,0.25,0.5891499999999998,STRONG ENTER,81,500,0.5800000000000001
1891047,Warriors vs. Clippers,0.25,False,0.42,False,0.295,0.2,0.322,0.688,0.367,0.33597499999999997,NEUTRAL,29,500,0.41999999999999993
1786388,Will Manchester City FC win on 2026-04-12?,0.25,True,0.445,True,0.1285,1.0,0.375,0.688,0.542,0.5683749999999999,HOLD,47,500,0.5549999999999999
568629,Will Scottie Scheffler win the 2026 Masters tournament?,0.25,False,0.175,True,0.542,1.0,0.84,0.621,0.25,0.5494249999999999,STRONG ENTER,148,500,-0.175
1607464,Bruins vs. Blue Jackets,0.25,True,0.5,True,0.293,0.042,0.928,0.688,0.25,0.3465,HOLD,166,500,0.5
1787766,Will Villarreal CF win on 2026-04-12?,0.25,True,0.335,False,0.1535,1.0,0.665,0.688,0.25,0.5305249999999999,HOLD,32,500,-0.665
1706414,"Military action against Iran ends on April 24, 2026?",0.25,False,0.0145,False,0.6435,0.033,0.13,0.349,0.338,0.15864999999999999,EXIT,91,500,0.014499999999999957
1786365,Will Nottingham Forest FC win on 2026-04-12?,0.25,False,0.355,True,0.269,0.022,0.919,0.688,0.25,0.335425,HOLD,24,500,-0.355
948043,Will TISZA – Respect and Freedom Party (TISZA) win the most seats in the next Hungarian parliamentary election?,0.25,True,0.65,False,0.369,0.0,0.159,0.656,0.454,0.222075,EXIT,154,500,-0.35
1786347,Will OGC Nice win on 2026-04-12?,0.25,False,0.49,False,0.074,0.048,0.583,0.657,0.396,0.30910000000000004,HOLD,80,500,0.49
1890656,Chicago White Sox vs. Kansas City Royals,0.25,True,0.29,False,0.1285,0.472,0.485,0.623,0.396,0.4646,NEUTRAL,28,500,-0.71
1919465,Indian Premier League: Lucknow Super Giants vs Gujarat Titans,0.25,False,0.44,True,0.1145,0.054,0.544,0.688,0.454,0.3207,HOLD,22,500,-0.44
1891042,Pelicans vs. Timberwolves,0.25,False,0.26,True,0.265,0.334,0.466,0.688,0.571,0.460525,HOLD,32,500,-0.26
568668,Will Cameron Young win the 2026 Masters tournament?,0.25,False,0.0285,True,0.08650000000000001,0.505,0.884,0.646,0.425,0.558,HOLD,153,500,-0.0285
568652,Will Justin Rose win the 2026 Masters tournament?,0.25,False,0.0285,True,0.079,0.505,0.881,0.631,0.483,0.5824,HOLD,157,500,-0.0285
1706421,"Military action against Iran continues through April 30, 2026?",0.25,False,0.655,True,0.363,1.0,0.252,0.544,0.396,0.4592,HOLD,79,500,-0.655
1607474,Senators vs. Devils,0.25,False,0.5,True,0.314,0.042,0.688,0.642,0.25,0.29644999999999994,NEUTRAL,152,500,-0.5
948038,Will Fidesz–KDNP win the most seats in the next Hungarian parliamentary election?,0.25,False,0.35,True,0.0585,0.0,0.234,0.663,0.425,0.23135,NEUTRAL,185,500,-0.35
1786372,Will Aston Villa FC win on 2026-04-12?,0.25,False,0.355,True,0.289,0.022,0.926,0.688,0.454,0.37235,HOLD,33,500,-0.355
1844503,LoL: Weibo Gaming vs Bilibili Gaming - Game 1 Winner,0.25,False,0.5,False,0.323,0.931,0.145,0.688,0.425,0.426575,HOLD,37,500,0.5
1891044,Suns vs. Thunder,0.25,True,0.24,True,0.2985,0.373,0.741,0.688,0.338,0.47589999999999993,HOLD,23,500,0.76
1607484,Utah vs. Flames,0.25,False,0.585,False,0.4125,0.042,0.131,0.652,0.25,0.20072500000000001,EXIT,150,500,0.585
1786385,Will Chelsea FC win on 2026-04-12?,0.25,False,0.315,True,0.3655,1.0,0.957,0.688,0.367,0.6371999999999999,HOLD,29,500,-0.315
1607469,Canadiens vs. Islanders,0.25,True,0.705,True,0.22599999999999998,0.607,0.175,0.641,0.542,0.396375,HOLD,151,500,0.29500000000000004
568657,Will Russell Henley win the 2026 Masters tournament?,0.25,False,0.0125,True,0.08399999999999999,0.222,0.504,0.607,0.425,0.37424999999999997,HOLD,159,500,-0.0125
1706399,"Military action against Iran ends on April 9, 2026?",0.25,True,0.007,False,0.205,0.016,0.184,0.625,0.338,0.20832499999999998,EXIT,75,500,-0.993
1890665,Texas Rangers vs. Los Angeles Dodgers,0.25,True,0.345,False,0.33949999999999997,0.617,0.372,0.652,0.425,0.4731499999999999,HOLD,20,500,-0.655
1893967,LoL: Team Vitality vs Shifters - Game 2 Winner,0.25,True,0.635,True,0.4225,0.188,0.615,0.688,0.338,0.376475,ENTER,37,500,0.365
